country,lat,long,color,date,gender
Indonesia,-7.3531,108.1217,#36cc85,5/21/2017,Male
China,31.1304,97.17982,#bb16eb,11/3/2016,Female
Argentina,-32.94424,-62.23028,#d26a7b,2/15/2017,Female
Venezuela,9.74569,-63.18323,#db3d24,4/13/2017,Male
Sweden,60.6745,17.1417,#e8b5dc,6/16/2016,Male
Lithuania,56.05,21.81667,#456039,1/22/2017,Female
Ukraine,48.5158,33.17329,#00b8c1,4/12/2017,Male
China,25.27031,116.85473,#da269e,9/19/2016,Male
China,47.10271,130.6647,#1d0a9c,1/23/2017,Male
China,39.09574,117.22289,#ee137b,2/11/2017,Female
Russia,56.32867,44.00205,#44a27f,2/28/2017,Female
Russia,51.63069,35.2775,#c8d311,8/19/2016,Male
Indonesia,-6.6964,111.2358,#9a9bd7,9/21/2016,Male
China,41.54944,113.53389,#ccd2b8,10/5/2016,Male
United States,40.0018,-75.1179,#695211,6/27/2016,Male
Ireland,52.44639,-9.485,#a63920,7/27/2016,Male
Philippines,12.982,123.6492,#237f67,9/27/2016,Female
Indonesia,-7.2693,108.314,#4a0a9e,4/29/2017,Male
Portugal,40.9917,-7.9,#961218,1/29/2017,Male
Ukraine,50.34071,30.42356,#67b71d,12/9/2016,Male
Philippines,9.9616,124.0252,#f6dbd9,11/3/2016,Female
Morocco,35.23619,-3.95453,#9e3428,10/6/2016,Female
Martinique,14.608,-61.0093,#04c92a,1/10/2017,Female
United States,30.5159,-91.0804,#084f4f,7/17/2016,Female
Russia,66.65722,66.41833,#60cb9a,1/1/2017,Male
Nigeria,7.1127,5.1159,#08a93f,1/2/2017,Female
Mongolia,45.56667,95.86667,#b91aec,5/7/2017,Male
Portugal,39.1333,-7.5833,#b3866e,5/6/2017,Male
Malaysia,5.9765,116.1158,#d0d5aa,11/4/2016,Female
Russia,52.65599,41.88461,#1cc87f,5/26/2017,Male
Macedonia,42.14167,21.69639,#a8dbcd,7/10/2016,Male
Portugal,39.9,-8.5833,#b5c47c,1/13/2017,Male
France,48.8709,2.3561,#944b6f,11/2/2016,Male
Peru,-6.76667,-78.61667,#a5eaaa,10/26/2016,Female
Japan,36.31865,138.2733,#b5a1da,11/18/2016,Male
Poland,52.22096,20.98526,#907363,1/6/2017,Female
Portugal,41.3667,-8.4833,#f9a956,5/28/2017,Male
Greece,40.43492,21.90609,#44f58e,7/17/2016,Male
Yemen,13.6444,44.85097,#6f2fc0,9/28/2016,Female
Indonesia,-6.7001,105.6493,#1bf8d4,11/28/2016,Male
Philippines,15.22127,120.95326,#0d19e7,11/7/2016,Female
Norway,59.8333,10.4372,#b01ca5,5/17/2017,Female
Denmark,55.6759,12.5655,#4b3097,10/4/2016,Male
Liberia,5.01111,-9.03889,#9d8ab4,5/19/2017,Male
Colombia,10.89686,-74.886,#6c4a2f,4/21/2017,Male
Palestinian Territory,31.57551,35.01223,#316cba,6/29/2016,Male
Philippines,14.1627,121.6396,#1cc9b4,8/22/2016,Female
Azerbaijan,40.76395,47.05953,#8e6f48,2/25/2017,Female
Russia,56.18045,42.03987,#f94283,3/17/2017,Female
China,32.20076,79.18447,#9f2841,4/1/2017,Male
